Question #,Question (break),Product Recommendation,Tier,Reasoning
1,Older MTB rider with hand pain using Ruffian grips,Vanquish Lock-On Grips,best,specifically designed to reduce vibration
1,Older MTB rider with hand pain using Ruffian grips,Elite Pro Lock-On Grips,alt,thin like the ruffian with ergonomic padding designed to reduce impacts without feeling bulky
1,Older MTB rider with hand pain using Ruffian grips,Reflex Lock-On Grips,alt,larger diameter grip designed for good traction while also reducing torsional forces to hands
2,"6'4"" rider with large hands needs large grip",Rogue V2.1 Lock-On Grips,best,largest diameter grip
2,"6'4"" rider with large hands needs large grip",F-1 Series Dread Lock V2.1 Lock-On Grips,alt,large diameter with specially formed AIRE compound designed for slower rebound
3,14-year-old downhill racer seeking traction and purple color,Ruffian V2.1 Lock-On Grips,best,thin grip for smaller hands and available in purple
3,14-year-old downhill racer seeking traction and purple color,Vans V2.1 Lock-On Grips,alt,also thinner and available in iridescent purple 
4,BMX racer requiring ultra narrow grips,AG-1 Lock-On Grips,best,thinnest grip offered
4,BMX racer requiring ultra narrow grips,Ruffian V2.1 Lock-On Grips,alt,next thinnest grip
5,E-bike rider seeking comfort for casual riding,Longneck V2.1 Lock-On Grips,best,for all around comfort
5,E-bike rider seeking comfort for casual riding,Elite Pro Lock-On Grips,alt,for more aggressive riding
5,E-bike rider seeking comfort for casual riding,F-1 Series Dread Lock V2.1 Lock-On Grips,alt,for larger diameter and longer rides
6,BMX and Slalom racer seeking fast reaction and good feel,CF Grips V2.1 Lock-On,best,race focused with carbon fiber themed design
7,Rider with large hands wanting padding without bulk,Elite Pro Lock-On Grips,best,ergonomic padding specifically designed to add comfort without adding bulk
7,Rider with large hands wanting padding without bulk,Elite Motion Lock-On Grips,alt,both have offset design for more padding without a larger diameter 
7,Rider with large hands wanting padding without bulk,Elite Flow Lock-On Grips,alt,both have offset design for more padding without a larger diameter 
8,Multi-bike rider wanting consistent feel and gumwall color match,Vans V2.1 Lock-On Grips,best,"great all around grip, fits multiple riding styles, available in gum rubber"
9,Female rider with small hands seeking impact damping,Elite Motion Lock-On Grips,best,thinnest grip with offset design for more padding on palm side of the grip (some impact damping)
9,Female rider with small hands seeking impact damping,Elite Flow Lock-On Grips,best,same as Motion but with an added waffle pattern that adds finger Â (some impact damping)
9,Female rider with small hands seeking impact damping,Longneck V2.1 Lock-On Grips,best,flexible ribs reduce impacts and form to riders hands for a thin feel (good impact damping)
9,Female rider with small hands seeking impact damping,Elite Pro Lock-On Grips,best,"small diameter with ergonomic pads to reduce impacts (very good impact damping, slightly larger diameter)"
9,Female rider with small hands seeking impact damping,Vanquish Lock-On Grips,best,slightly larger feel than elite pro but with highest level of impact damping
10,Cross-country racer seeking comfort with minimal weight penalty,F-1 Series Dread Lock V2.1 Lock-On Grips,best,Aire compound reduces weight and is tuned to slower rebound which increases comfort on cross-country rides